,round,win_home_team,tie_home_team,loss_home_team,home_team_score,home_team_score,away_team_score,away_team_score
,count,sum,sum,sum,sum,mean,sum,mean
championship,,,,,,,,
2003,552,297,142,113,982,1.7789855072463767,610,1.105072463768116
2004,552,288,140,124,947,1.7155797101449275,587,1.0634057971014492
2005,462,235,103,124,835,1.8073593073593073,616,1.3333333333333333
2006,380,191,97,92,604,1.5894736842105264,426,1.1210526315789473
2007,380,192,90,98,634,1.668421052631579,413,1.0868421052631578
2008,380,208,96,76,658,1.731578947368421,377,0.9921052631578947
2009,380,195,102,83,659,1.7342105263157894,435,1.144736842105263
2010,380,179,118,83,581,1.5289473684210526,397,1.0447368421052632
2011,380,184,105,91,610,1.605263157894737,407,1.0710526315789475
2012,380,183,106,91,559,1.4710526315789474,380,1.0
2013,380,184,108,88,558,1.4684210526315788,378,0.9947368421052631
2014,380,197,92,91,540,1.4210526315789473,320,0.8421052631578947
2015,380,200,91,89,555,1.4605263157894737,342,0.9
2016,380,202,95,83,564,1.4842105263157894,348,0.9157894736842105
2017,380,167,103,110,526,1.3842105263157896,397,1.0447368421052632
2018,380,202,110,68,525,1.381578947368421,302,0.7947368421052632
2019,380,184,98,98,525,1.381578947368421,351,0.9236842105263158
2020,380,171,108,101,536,1.4105263157894736,408,1.0736842105263158
2021,380,174,114,92,483,1.2710526315789474,355,0.9342105263157895
2022,380,168,108,104,534,1.4052631578947368,371,0.9763157894736842
